P(Topic 1),P(Topic 2),P(Topic 3),P(Topic 4),P(Topic 5),P(Topic 6),P(Topic 7),P(Topic 8),P(Topic 9),P(Topic 10)
0.023437581392668695,0.02343758152044158,0.023437581470151927,0.023437581506980863,0.023437580103011533,0.023438712766939526,0.7890579362289506,0.023438100922585584,0.023439762751140385,0.02343758133712924
0.025374719062026468,0.23728523570018317,0.02537471921572138,0.025374719288821887,0.02537773317633453,0.025374716770018513,0.5597140018845994,0.025374718641856624,0.025374717308650863,0.025374718951787188
0.025739063433965037,0.0257390635537453,0.025739063506569168,0.025739063541114618,0.025739518730486993,0.02574172124953972,0.768340619959648,0.025739063233193044,0.025743759409981148,0.025739063381757077
0.019087556630399318,0.019087497998812118,0.019087497985596703,0.019087499123497966,0.8282059197241102,0.019087577995986094,0.019091056783043056,0.019090242149829764,0.019087621807876202,0.01908752980084846
0.01485219449670002,0.014852194575547381,0.014852194544458488,0.014852194567226942,0.014852894636732648,0.014852400895336636,0.8663290900424591,0.014852194365017689,0.014852447414085491,0.01485219446243567
0.012085645440073177,0.012085645678023074,0.012085645584419581,0.012085645653064208,0.012086549402820172,0.012086096822913919,0.8912275038744314,0.012085795508530086,0.01208582669916169,0.012085645336562777
0.01982467199266707,0.019824457540413523,0.0198244574282604,0.019824460024300057,0.43631184320202654,0.019825375355313316,0.40508394327766784,0.01982814812361756,0.019826743854641404,0.01982589920109215
0.019902814095438447,0.01990281444743184,0.019902814309000635,0.01990281441059353,0.07852015937987888,0.0199077626554649,0.7161123227353213,0.01990281350979828,0.06604287051474178,0.0199028139423303
0.01904848454335348,0.019048484692997487,0.019048484634202122,0.019048484677709403,0.019050150000247373,0.039639463260112084,0.5569471040406421,0.019048484292617743,0.019051915811086843,0.2700689440470315
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.019100237499058932,0.019100237764623544,0.019100237661404607,0.019100237737350128,0.11888535443682373,0.019100403176527513,0.2783501127597302,0.019115915896635867,0.019104280858819378,0.4690429822090262
0.023031582012216334,0.023031582277202454,0.023031582172984285,0.023031582249474734,0.02303166305485941,0.023037393937438887,0.6113251190265226,0.0230315815688409,0.20441633180354107,0.02303158189691928
0.013323038311807076,0.1086753065771207,0.01332303872380108,0.013323038919793032,0.01332306573058603,0.013323383717933075,0.7847396267558867,0.01332303717423057,0.013323426071217071,0.013323038017624763
0.021331962229292137,0.021331962398935936,0.02133196233220792,0.021331962381177315,0.021332074306104593,0.021334933693394502,0.5127632873395798,0.021331961945053657,0.3165779312187767,0.02133196215547756
